LAMMPS data file via write_data, version 8 Feb 2023, timestep = 0

8593 atoms
9 atom types
3434 bonds
2 bond types
1109 angles
1 angle types

-41.16390805875904 10.647540098759045 xlo xhi
-23.103128949820114 -0.7021619671798895 ylo yhi
-34.56624419245038 34.56624419245038 zlo zhi
14.82129093985866 0 0 xy xz yz

Masses

1 15.999
2 40.078
3 28.085
4 1.00794
5 15.999
6 15.999
7 40.078
8 1.00794
9 15.999

Pair Coeffs # lj/cut/coul/long

1 1.243 2.7339
2 5.03e-06 5.56669
3 1.841e-06 3.30203
4 0 0
5 0.0619 3.4435
6 0.1554 3.16554
7 5.03e-06 5.5617
8 0 0
9 0.0619 3.4435

Bond Coeffs # harmonic

1 554.135 1
2 554.135 1

Angle Coeffs # harmonic

1 45.7696 109.47

Atoms # full

7203 647 8 0.41 -36.93779273513596 -23.03456198083874 -20.492934342720332 0 0 0
6573 437 8 0.41 -37.08295209767662 -21.930701388791913 -28.030505613629472 0 0 0
1594 1 1 -1.152453722 -25.574058706859304 -17.00330393345613 -25.60417443629025 1 0 1
1595 1 5 -1.012453722 -27.259702368430702 -15.48847938338302 -32.275842381888744 1 0 1
1598 1 3 1.72 -26.09646192030518 -18.269462737708604 -26.572400301507376 1 0 1
8494 1077 8 0.41 -30.36119558364332 -14.099573710787983 -26.292608445675125 0 0 0
5553 97 8 0.41 -28.614011616763733 -18.842252155737064 -19.769313173766122 0 0 0
1647 1 3 1.72 -22.064796475687743 -12.886496392892026 -25.711356259904782 1 0 1
1778 1 5 -1.012453722 -32.20254915670228 -16.829677629857215 -34.35970716695071 1 0 1
5534 91 6 -0.82 -33.93897095829377 -13.050150836961883 -20.252330808264688 0 0 0
1776 1 1 -1.152453722 -33.235911434188644 -19.71909390631126 -25.129459031340335 1 0 1
4420 1 4 0.29 -28.99253449059037 -13.402755958462075 -28.3873113467442 0 0 0
1779 1 5 -1.012453722 -27.78620312528498 -15.534686576770218 -27.429849479135033 1 0 1
1780 1 9 -1.152453722 -27.679556615496878 -18.172944417798288 -27.010785595342057 1 0 1
6241 326 8 0.41 -27.601220640735754 -20.051725714023583 -27.65797617505733 0 0 0
1782 1 7 1.7 -31.571466920979113 -16.732503994179478 -31.60979231948855 1 0 1
1783 1 7 1.7 -27.728731482660308 -19.940307086056016 -31.660451669758448 1 0 1
1784 1 5 -1.012453722 -31.985643361802136 -15.12233866259892 -26.996701446477594 1 0 1
1785 1 2 1.43 -34.69401205989538 -21.561100016633628 -25.46947461897409 1 0 1
7360 699 8 0.41 -31.65767928681277 -12.851968987796822 -28.535852776649598 0 0 0
1787 1 1 -1.152453722 -33.120549507412306 -17.159168843841073 -25.1295793565373 1 0 1
1788 1 5 -1.012453722 -30.684300181476047 -17.731363027819768 -29.457735935049197 1 0 1
1789 1 5 -1.012453722 -30.044430951491957 -17.21254550436801 -26.21043327993603 1 0 1
1791 1 3 1.72 -33.24809785692872 -18.390194871422064 -26.157459037159935 1 0 1
1792 1 5 -1.012453722 -32.087845546972495 -18.57522931500101 -27.386885013069424 1 0 1
1793 1 1 -1.152453722 -29.274201533647172 -19.635349687135143 -25.28583999138816 1 0 1
1794 1 5 -1.012453722 -28.81549520173541 -19.430245727951455 -33.655857211943854 1 0 1
1795 1 1 -1.152453722 -27.979235012189164 -17.508662962304843 -24.41398677794775 1 0 1
1796 1 3 1.72 -28.738664459310797 -18.201010712035412 -25.72998345145382 1 0 1
1797 1 2 1.43 -31.2392656606345 -21.077648535676524 -25.12189649938278 1 0 1
1822 1 5 -1.012453722 -27.743488388800845 -14.109584370700123 -22.99788275153979 1 0 1
1826 1 9 -1.152453722 -23.57245392082123 -12.963209795608378 -26.37602353032048 1 0 1
