run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.241 | 9.267 | 9.329 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
     60000  -780310.78      299.70217      613.00606      51.608975      22.481093      72.942086      2.2829601      84629.318    
     61000  -780274.36      298.58542      576.23477      51.506512      22.520569      72.914674      2.2843505      84577.81     
     62000  -780334.2       301.58645     -1034.6773      51.723843      22.46376       72.963733      2.2789714      84777.438    
     63000  -780614.1       303.13324     -577.46599      51.594501      22.467276      73.080365      2.2806815      84713.873    
     64000  -780402.57      299.7509      -338.97168      51.641438      22.481092      73.130298      2.2756533      84901.052    
     65000  -780266.86      301.0298      -100.31248      51.611964      22.518654      73.025383      2.2764206      84872.434    
     66000  -780337.79      297.45642      124.61159      51.546766      22.489613      73.071927      2.2807895      84709.859    
     67000  -780314.76      302.92302      219.74054      51.596947      22.487442      73.118983      2.2773247      84838.74     
     68000  -780349.27      302.14307     -59.233674      51.526312      22.486224      73.259202      2.2762051      84880.469    
     69000  -780228.57      299.83853      211.05583      51.567126      22.490564      73.196316      2.2759183      84891.165    
     70000  -780418.77      295.41958     -323.49485      51.576639      22.489914      73.138336      2.2773683      84837.117    
     71000  -780269.99      301.18839     -237.74025      51.459991      22.524561      73.317973      2.2734357      84983.869    
     72000  -780357.31      305.10652      1645.1143      51.472489      22.483754      73.191795      2.2809343      84704.483    
     73000  -780322.37      299.29265     -864.35513      51.608056      22.486738      73.24892       2.2728668      85005.141    
     74000  -780491.18      305.0923       552.52154      51.581876      22.488634      73.245558      2.2739331      84965.28     
     75000  -780259.76      296.85822     -245.90739      51.52722       22.468834      73.450424      2.2719963      85037.71     
     76000  -780236.36      299.57552     -1444.6277      51.603795      22.469797      73.399053      2.2701154      85108.168    
     77000  -780529.6       297.63118     -1349.5591      51.450828      22.479657      73.405489      2.2756663      84900.566    
     78000  -780433.55      300.40242      290.08871      51.604353      22.499054      73.17024       2.2742285      84954.243    
     79000  -780456.07      304.73806      535.14742      51.603203      22.467158      73.297252      2.2735613      84979.172    
     80000  -780420.69      300.76562     -1465.0614      51.541667      22.525407      73.300385      2.2702925      85101.527    
     81000  -780378.49      301.24742      319.4577       51.629544      22.471102      73.27247       2.272771       85008.723    
     82000  -780531.26      300.12676      499.61732      51.569849      22.449758      73.383737      2.2741118      84958.6      
     83000  -780411.79      301.0481      -1067.0061      51.541197      22.512624      73.395103      2.2686707      85162.362    
     84000  -780413.99      298.14373     -1827.1677      51.524513      22.477455      73.529223      2.2688102      85157.127    
     85000  -780342.82      300.89936      762.10347      51.45502       22.494581      73.405087      2.2739837      84963.386    
     86000  -780279.07      300.33035     -139.79834      51.623744      22.482372      73.352302      2.2694143      85134.461    
     87000  -780325.56      304.11816      195.68745      51.472151      22.482779      73.516776      2.2709648      85076.333    
     88000  -780362.57      300.23376      886.91385      51.528959      22.446252      73.486847      2.273078       84997.239    
     89000  -780380.07      297.30736     -1048.4739      51.578071      22.445544      73.48449       2.2710582      85072.836    
     90000  -780432.8       297.77904     -268.45727      51.632708      22.459506      73.269281      2.2739041      84966.363    
     91000  -780239.43      301.36616      1352.952       51.500787      22.488444      73.408807      2.2724677      85020.067    
     92000  -780429.28      300.39345      880.91345      51.549366      22.453705      73.492961      2.2712351      85066.21     
     93000  -780291.63      301.97948      1258.6377      51.491635      22.512008      73.390577      2.2710566      85072.896    
     94000  -780379.88      297.87723     -1119.8359      51.552384      22.494745      73.408961      2.2695526      85129.271    
     95000  -780467.49      297.11357      220.24806      51.532504      22.46181       73.578657      2.2685132      85168.276    
     96000  -780377.49      299.05655     -352.55064      51.531872      22.486809      73.532099      2.2674539      85208.066    
     97000  -780395.27      300.51749     -207.47615      51.550488      22.454887      73.552925      2.2692146      85141.95     
     98000  -780413.46      300.14722     -1257.8484      51.488387      22.46671       73.646016      2.2678856      85191.847    
     99000  -780388.61      301.26596      586.04411      51.519441      22.484759      73.511749      2.2688356      85156.173    
    100000  -780387.87      297.44056     -252.47915      51.517218      22.484222      73.603082      2.2661721      85256.26     
    101000  -780413.51      299.52388     -345.66548      51.542962      22.486726      73.483027      2.2684882      85169.213    
    102000  -780531.22      305.49833      39.785033      51.522637      22.469086      73.489191      2.2709743      85075.978    
